@relation Twitter
@attribute Twitter numeric
@attribute body string
@attribute class {NEU,POZ,NEG}
@data
208,'Ar auto uz darbu 6dienā ir patīkami braukt (at @user) url',POZ
210,'Labriit',NEU
211,'Stundukā pamodusies@user aizvraukusitagad TVgulta un kaķītis #tag',NEU
214,'Esmu gatava un dodos uz Gulbeni!',NEU
215,'Labs rītiņš! Ehh būtu labāk gulējusi brr cik auksts un neskaists laiks aiz logo! :D',NEU
216,'Viss ir galvā.',NEU
218,'LABRĪT-Ir tik labi pamosties SAVĀS MĀJĀS',POZ
222,'Esmu ieradies savā mājā.',NEU
223,'Labrīt šdn uz teātri un tad uz onkoļa dzimšanas dienu! ;)) ;)) ;))',POZ
224,'sākas stresiņš pirms vakara jo es joprojām īsti nesaprotu kad un kas man īsti ir jādara :D',NEU
225,'Labi jādodas garajā braucienā uz #tag (Francija). Kādas 24H būs līdz gala punktam.',NEU
227,'labritin! Tagad uz pilsetu sapirkties :))',POZ
229,'@user jā :D to es arī redzēju ;D',POZ
234,'@user ko šovakar?',NEU
235,'Jādadzer jogurts un jādodas uz krievu skolas sporta zāli.',NEU
236,'Laikam jāceļas. *',NEU
238,'@user ko šovakar?',NEU
239,'Viss izlemts. Mēs ar Emīliju braucam sakatīties to @user Esmu atvērta piedāvājumiem un vakara plāniem!',NEU
241,'@user ko šovakar?-',NEU
242,'Liela daļa no mīklas parasti nemaz nepārvēršas pankūkās jo ir garda tāpat.  Pa taisno no bļodas :)',POZ
243,'nu lab jau kādas 30 min esmu augšā.',NEU
247,'Sestdiena rīts miegainas acis žāvas un Tu saproti: cik forši ir gulēts! No darāmā ne miņas - dievinu brīvdienas! url',POZ
249,'Kādam šodien ir plānā  doties uz Rīgu? Būtu forši ja varētu paķert līdzi.',NEU
250,'Labrīt.',NEU
251,'labrīt.',NEU
255,'Jau no agra rīta brauc viņš augumā. Vnk lieliski. #tag.',NEG
257,'Apsveicu @user :)',POZ
261,'Te ir superneērti krēsli un ļoti runātīgas fellow studentes. Būs ilga diena. [pic]: url',NEG
262,'- Nu jā vakardiena vienkārši ideāla .  ; 33 Vienīgais man tagad nereāls kauns . : DD Bet nu cerams  visi piedos : DDD',POZ
266,'Labrīt! Šodien jūtos smagi! :d',NEG
268,'Viņa intelekts kurš ir zemāks par jūras līmeni mani vienkārši uzvilka". Jo īpaši šajā  valsts svētku  laikā.."',NEG
269,'Labrīt. Godīgi sakot melna bilde no Vakardienas.',NEG
270,'Labrīt esam pamodušies ar @user :) Šodien vēl Dosimies uz Dominu nopirkt man kreklu priekš viņas kolektīva apbalvošanas pasākuma',POZ
276,'Labrīt. :-) Šodien jau jūtos daudz labāk vismaz kāds prieks.',POZ
277,'dodos pakaļ nuttelas maizītēm;D',POZ
278,'@user @user jums svētdienās treniņi? gg',NEU
281,'Tūlīt jābrauc uz darbu. Garastāvoklis protams briesmīgs. Vakarā ar mammu uz teātri.',NEG
282,'Gandrīz neiespējami rimčikā savienoties ar internetu. Ah zb. Vēl tikai nieka 40 min. ;(( :D',NEG
283,'Lekcijas šodien nav baigi interesantās. #tag #tag #tag (@ Ekonomikas un Kultūras augstskola w/ 4 others) url',NEG
284,'b*** atkal neviena izsina nepienak . ja kas man zvaniet vai rakstiet pa viber un whatsaapppuu .',NEG
289,'labrīt.',NEU
294,'Varbūt kāds no suntažniekiem var man aizdot hanteles un kādu stieni 5kg līdz pirmdienai? :d',POZ
296,'- eju meklēt kaut ko ēdamu . ´',NEU
298,'Ceļā uz Ventspili. url',NEU
299,'Riktīgi kaifīgi dzirdēt stāstu par to kā lietuviešu kompānija atrada kopīgu valodu ar igauņiem caur manu dziesmu :) #tag',POZ
301,'@user tas jau lkm no manām mājām.:D',NEU
302,'Labrīt :)) jūtu ka šī diena būs ideāla :)))',POZ
303,'Sanāca laaaabs joks.  Shodien gribējām nospēlēt pirmdienas koncertu.#tag. Esmu pārsalusi bēt ljoti laimīga labs plancjiks 16.00:)))',POZ
304,'Lūdzu nošaujiet mani',NEG
306,'@user   Labdien PRINCESĪTE !!!',POZ
308,'@user Pajautāji par 1dienu ??',NEU
309,'Driz oma bus klat jasagaid un tad uz loc',NEU
310,'Braucam atpakl uz rajonu ! Galvā karuselis ! Un ar @user recam par nakti ! :D',POZ
311,'@user   Labdien !',NEU
312,'plkst. 8 no rīta. sencis- Sarmīt celies un taisi man ēst!  tā nu es esmu nomodā jau no 8 un šefoju pa virtuvi.  labrīt. ))',POZ
314,'- un atkal jau ar viņu sastrīdējos .... Nu zajebal  es vairs pakaļ viņam neskriešu  viss man pietiek  ka tic meliem nevis man  -.-',NEG
315,'@user Ehjūs tak esat labākās. Vismilzīgākais Paldies Jums ! Pārsteigums bija super. :))',POZ
316,'@user   Labdien !',NEU
317,'Tikko mājās no Robīša balles 12os jābrauc uz Rīgu. Woohoo! #tag',POZ
318,'@user   Labdien PRINCESĪTE !!!',POZ
320,'@user   Labdien !',NEU
321,'Labrīitiņ. ;) Šodien mūsu stāvoklis ir TIKAI horizontāls bet vakaraa jau atkal būs vertikāls... ;DD',POZ
328,'Šī dienas sākums ir izdevies jo satiku mīļo Jūliju stacijā!',POZ
330,'Nesen piecēlos laikam jāaizripo uz halli.',NEU
331,'Tikko sajutos kā Kevins. Pamostosun māja esmu viens pats.',NEU
332,'@user Apsveicuu :***',POZ
336,'Labrīt! =)',POZ
337,'Sodien TV diena atkal vakaraa uz milžu cīńām .',NEU
342,'ar Karchu interesantas dzīves sarunas. viens no cilvēkiem ar kuriem var runāt par jebko. #tag #tag #tag',POZ
343,'Rīga-Valmiera sodien kāds nebrauc ??',NEU
344,'Enerģijas pilnu un pozitīvām domām bagātu šo sestdienas rītu!Ir taču brīvdiena!:)',POZ
345,'@user Cik ir shogad?',NEU
346,'Skaisti! :) url',POZ
347,'- būs jāsāk ģērbties .´ pietiek pa gultu vārtīties . ´',NEU
348,'Rīt uz Rīgu! :3 Yeyaaaa.. xD',POZ
349,'Stulbais  internets :@@@',NEG
351,'@user @user @user Cikos jūs brauksiet? Un ar kādu transportunegribat 11 30 pie PRIZMASjo nezinu kā aizbraukt!',NEU
353,'Labrīt;)',POZ
354,'Šodien labs garīgais',POZ
357,'Lapriit ;) Šodien ar vilcienu uz Rīgu ar drušku pa veikaliem pastaigāšu ; )',POZ
358,'Varbūt pie manīm b?s beāte',NEU
359,'#tag',NEU
364,'Kamēr citi vēl tikai pārrodas mājās no ballītēm... Es jau sen pamodusies svaiga kā gurķītis dodos uz jogu. #tag',POZ
366,'Ātrak ārā no maajaas. Uhh',NEG
370,'nu jā.',NEU
371,'labrīt un atā  eju spēlēt nfsw .',NEU
372,'@user sviestu ēdat..?',NEU
373,'izlasiet... url',NEU
374,'@user cikos ir? :)',NEU
376,'Labrīt esmu augsa suns nelauj gulet tulit jabrauc ari UZ pilsetu ar ommi.',NEU
378,'Labrīt pamostos paskatos telefonā cik pulkstens bet pulksteņa vietā redzu 6 neatbildēti zvani (O_o) :D',NEU
379,'Dzīve - nav zebra no baltām un melnām strīpām bet gan kā šaha galds. Viss ir atkarīgs no veiktā gājiena..',NEU
382,'Drīz jāpārkārto istabasagribējās kaut ko savādāku.:)',POZ
383,'@user Nu tu skaties :D Labi labi. :D Labāk iedomājies kautko smieklīgu :)',POZ
385,'Esmu gultā un miers !',NEU
389,'labrīt! Tā dien beidoot ir klāt un man ir lielisks garatāvoklis! LAI IZDODAS!!',POZ
393,'@user Braucu uz staro rīga :DD',POZ
394,'labrīt! Tā dien beidzoot ir klāt un man ir lielisks garatāvoklis! LAI IZDODAS!!  @user',POZ
395,'Labrīt pamodos no tā ka nenormālīgi gribas klepot nu jau vairs neaizmigšu.  Tagad brokastis pie pc njā.. interesanti.',NEG
398,'@user Kad beidzas uzzvani. ; ))',NEU
399,'Beidzot pie rullja atkal :-D ne pie sava bet nu vsmz',POZ
400,'Kādam ejošu biznesa ideju?url . url :D :D',NEU
401,'šodien ārā ar @user',NEU
404,'Traki pelēka dieniņabet nekas! :))',POZ
406,'Liela Ziemassvētku atklātnīšu izvēle @user veikalos. Arī dāvanu saiņojamie materiāli-papīrilentaspušķi- piedāvājumā.',NEU
407,'Taisam pankuukas #tag :))',POZ
409,'-5% atlaideuzrādot ISIC studenta karti @user veikalos.',NEU
410,'@user kaitinošākais kas var būt ;@ ;/',NEG
415,'Vienmēr brīva vieta šajā bezmaksas stāvvietā uz skolu tālāk ar tramvaju! :) (@ Rīgas Dzemdību nams - @user) url',POZ
417,'Šorīt viss steigā. Bet pēc tam SPA.',NEU
419,'gm ne pārāk labs rīts šodien tomēr pa mājām negribu nekur braukt . Paskatīšos filmiņas n shit . #tag',NEG
425,'Eju uz veikalubye #tag',NEU
429,'Brokastis. url',NEU
430,'Jaukākais ir tas  ka esmu saslimusi .  ; //',NEG
431,'@user nu gan smalki.',NEU
432,'iHoroskops ļoti iepriecināja. Labrīt.',POZ
434,'Vakar patripojām apkārt  ar bračku',NEU
435,'šodien plkst. 14.00 visi esat gaidīti Mārupes sporta kompleksā vērot spēli &amp; vērot mūs! ;)',POZ
436,'Maziņš šopings bet tik patīkami :D (at @user w/ 4 others) url',POZ
437,'Forši duša saplīsa;D',NEG
438,'Labrīt;)))))',POZ
440,'Labriit.:*',POZ
441,'Ja izdarīji bernu tad tev jaaprecas. - Runāsim atklāti. GUSH :D',NEU
442,'tomēr ir cilvēki kas spēj ar viena zvana palīdzību likt smaidīt un aizmirst par visu slikto. :)',POZ
443,'@user ko nebiji vakar uz tēva dzimeni?',NEG
444,'Lamar Odom ir ticies ar #tag vadību par iespējamo atgriešanos NBA. Varētu būt noderīgs. url',NEU
445,'Esmu orķestrī. Negribu. Te. Būt.',NEG
446,'Labis rītis! :) Okeāniņš farmiņa un tad jāpakojas uz Valmieriņu! :)',POZ
447,'@user kas tev zvaniija ? :D',NEU
449,'Izdevies rīts ir izdevies rīts! #tag url',POZ
450,'Varētu šodien sapucēt sevi. :)',POZ
451,'Labrīt!',NEU
452,'Kaut varētu tagad pazust.',NEG
454,'Šodien esmu šeit! @ Rīgas Latviešu biedrības nams url',NEU
455,'Es gribu ziemu.',NEU
456,'To viņš pieprot! url',NEU
460,'Labrīt :)',POZ
461,'Skatos lnt un smejos par meiteni. Lool. :D stasta un smaida. :DDD',POZ
462,'Kica jau majas aizgaja:)',NEU
464,'Pēc kādas pus stundas došos uz OZO.',NEU
466,'Ja gribi raudāt izmanto kabatas lakatiņu nevis twitteri.',NEG
469,'Čukš čuks... Klausos veļasmašīnā! Man patīk viņas akcents. ;D',POZ
470,#tag?,NEU
471,'Labr?t. Nu vairs nav labi aizg?ju gul?t pirms 6:30 un esmu jau augś?.',NEG
472,'Mm nu jāa. Autobusu nokavēju. :D',NEU
473,'Labr?t. Nu vairs nav labi aizg?ju gul?t pirms 5:30 un esmu jau augś?.',NEG
476,'@user @user man nekas nav teikts es pat nezinu cikos viss sākas :D',NEU
477,'mīl ne jau par to kā cilvēks izskatās vai kāds raksturs tam ir bet gan par tām sajūtām ko šis cilvēks māk radīt..',POZ
480,'sveicu @user :)',POZ
482,'...un es domāju ja trenerim ir salauzta kāja tad treniņi būs vieglāki. Kā tad! Šodien ne saliekties varu ne apsēsties :D',NEU
484,'Labi  man apnika  Diān ja Tev kko no manis vajag  tad whatsapp. ; dd @user',NEU
485,'@user ko tu spēlē darīsi ar savām porcelāna potītēm?',NEU
487,'- mainu paroli datoram . ´ mamma visu lasa . ´ man jau apnicis šitas ir. un vainu vēl noveļ uz tēti : ka viņš ir lasījis .',NEG
489,'Šis rīts iesācies ar jaukām pozitīvām emocijām. Prieks un arī svētku sajūta. ',POZ
490,'Saldus sap?us! :) url',POZ
491,'Pec fantastiska vakara/nakts. )) Pie saviem milajiem. )) (@ Lienītes house) url"',POZ
492,'@user ai tētim viņa bij klases audzinātāja un viņiem visien bija pasākums te :D',NEU
493,'@user labāk pasmejies par šo bildīti! url',NEU
494,'Labrīt vakar tikai 2:30 beidzu  ballīties! Šodien 15:00 draugi nāk! :))',POZ
497,'Sīkais grib lai braucu uz akvaparku. #tag',NEU
499,'@user  Vakar:  es jau neko pa maaju',NEU
500,'Nav jau tāka pus nakti neesmu gulējusitikkai dēl tā ka dzērājiem gribas parunāties un uzdot debīlus jautājumus. #tag',NEG
501,'Labrīt :)',POZ
504,'@user ko tu rēc ?',NEU
505,'Labrīt.',NEU
506,'@user PAALDIES! :)',POZ
507,'Es kā parasti čamajos',NEU
509,'Šonakt nosapņojuka tieku sadurta un pašlaik esmu ceļā uz kapiem. Ironija vai sakritība?',NEG
510,'Labs ies ģērbties un brauks :)',POZ
511,'Krasi jāmaina dzīve tur nav divu domu! :)',POZ
512,'Jau drīzumā foto kursi :-) Bet tagad viens ģimenes foto :-) (@ GA - Studio | Stila Foto studija) [pic]: url',POZ
513,'Labrittikko pamaniiju ka gacho mwn twitteri atbildeejis. ;D',POZ
514,'Vakardienas ballīte bija tik super ka pat šodien kautkā nogurums liels :D',POZ
515,'Eju parunāt ar Martu.',NEU
516,'Piektdienas vakarā pie Smiltenes  jaunajiem riteņbraucējiem viesojāsprofesionālais riteņbraucējs @user url',NEU
517,'Drīz jāceļās augšā jāsataisās jāsatiek @user  un tad uz laukiem prom no visa un visiem uz dažām dienām. :)',POZ
518,'Tas moments kad skype parāda ka tavai labākajai drauzenei ir dzimšanas diena:D url',POZ
520,'kafijanomazgāšu traukus untad ciemos pie mīļajiem.',NEU
521,'Labrīt. :)',POZ
522,'Braucu uz Liepāju!',NEU
523,'Esmu lieliski izgulējusiesceļos un sāku kārtot māju ',POZ
524,'@user  pāāldies! :-D :-):-)',POZ
525,'labrītizgulējusies beidzotjess',POZ
526,'Tas moments kad skype parāda ka tavai labākajai draudzenei ir dzimšanas diena:D url',POZ
527,'Jo tas vienkārši ir Ņiksis . @user #tag url',NEU
528,'kunģīts pielikts. tagad varētu pagulēt.',NEU
532,'@user Lieliski. Jums kā izpildošajai organizācijai vajadzētu ziņot Saeimai par viņu darbā pieļauto brāķī - loģisko ačgārnību. Lai labo.',NEU
534,'Labrīt. (:',POZ
535,'Man nav ne mazakas nojautas kur esmu :D',NEU
536,'Kā garākas brīvdienastā esmu darbā (at @user w/ 6 others) url',NEG
538,'@user a kā tad viņu sauc ? :D',NEU
539,'labrit. url',NEU
540,'Aizbrauks lidz frizieram...',NEU
541,'@user cikos pūsli dzenāsim?',NEU
543,'Ak dievs cik sen šeit nesmu bijusi :O',NEU
544,'IespejamsRihards sl  iktakais pasakumu vaditajs',NEG
546,'@user Paaldies! ;)',POZ
548,'Ballē ķipa katrs kolektīvs pie sava galdiņa? #tag',NEU
551,'Ak tāds nogurums...',NEG
552,'@user atbildi uz sms',NEU
554,'@user sekošu viņai twitterī :D',NEU
555,'Rihardsiespejamssliktakais pasakumu organizators. #tag',NEG
556,'Skan Imagine Dragonstāda sajūtaka esmu Positivusāhaha',POZ
557,'Atnacu pie Lauras paest url',NEU
558,'skatos bērnības fotogrāfjas par dažām var tā pasmietes ;dd',POZ
559,'Labs rīts  nežēlīgas vēdera sāpes līdz pat asarām .',NEG
560,'Hey. Kādam nevajag lakatus/šalles priekš sevis vai dāvanai- tad Dominas Glam Deco veikalā lielais… url',NEU
561,'šorīt baigi ilgi nogulēju . : DD',NEU
564,'Ceļos un veļos. Sakārtošu kaut ko un vakarā iespējams uz Mēmeli. :)',POZ
566,'Šodien man liekas baigā balle. #tag #tag',NEU
567,'@user Tad drīz jau nāksi āraa.',NEU
568,'lapsrīts  šaujam ielās ? #tag',NEU
569,'@user tikai tikko ieraudzīju šito twītu. ;D Amand nu nu nu . ;D',NEU
570,'#tag Siguldā tgd ;)',NEU
571,'paldies @user par Katie Melua muzikas ieteikumu. Laiskai rudens sestdienai loti piestav.',POZ
572,'Drīz jau spēlesim. (@ Rujiena) url',NEU
574,'Autobusā pagulēt nevarēju Kursīšu tantes sacēla traci un tā. Kaitina ka nevar braukt ar Kursīšu autobusu!',NEG
575,'@user pēc pus h  uztaisīšu brokastis',NEU
578,'Celtnieks/LSPA ieradušies Vaiņodē. Spēle sākas 13:00! url',NEU
579,'Kaut kas šodien bij ieplānots bet nevaru atcer?ties',NEU
584,'@user veiksmi koncertā. :)',POZ
585,'@user lai veicaas : ) (hug)',POZ
586,'- klausos mūziku .` Fractal - Elements .',NEU
588,'Ādažu @user  pilns ar 15.11.13 kafijas pienu',NEU
589,'Visi ejiet dirst.. Eju pīpēt',NEG
591,'Labrīt ! Saprotu  ka vakardiena bija awesome  bet tagad gan uz darbu .:)',POZ
593,'Ēdu mandarīnus.',NEU
594,'Sāksim ar boulingu!',POZ
596,'Garlaicīgi kāds negrib uzrakstīt? #tag',NEU
597,'Sodien jamauc uz Valmieru lai vakara varetu iet uz @user patuseties.',NEU
598,'Laabrīīt!',POZ
599,'@user bučas centīsimies ;***',POZ
600,'@user nopietni? piedod nepamanīju :*',NEU
605,'Šajā sienā dzīvojot Balvu muižas Baltā dāma! Šoreiz izvēlējos ar viņu NEnakšņot viena pati muižā bet… url',NEU
606,'@user Lai veicas!:**',POZ
608,'Stunda pirms exāmena :D @ LU EVF | Ekonomikas un vadības fakultāte url',NEU
609,'Labrīt. Beidzot sestdiena! ? tagad go dušā un jāaizčāpo līdz brālim :)',POZ
610,'Esmu hallé ar @user un @user .',NEU
611,'ēu a kad ir pirmā advente?',NEU
612,'Būs jāuzzīmē kko.',NEU
613,'Kāds negrib šodien iet uz Vef spēli? atdošu divus ielūgumus. :)',POZ
614,'Un vēl par vienu zvaigzni debesīs vairāk:( url',NEG
615,'Visi kuri nāk šovakar: atceraties ka tiekamies Alfā 18:30 #tag #tag',NEU
617,'Gribu patreneties eksamenam bet es tac nevaru blooootj! Istaja laika saslimu yaa. :(',NEG
618,'Talsos  gaidu mucu uz Ventspili :d',NEU
619,'@user ja vien tā būtu lielākā problēma! :D padomā loģiski vakar bija piektdiena! :D',NEU
621,'@user Aizejam vēlāk?',NEU
624,'Es pamodospaskatījos spogulī un  sapratuka lēnām viss iet uz augšu.',POZ
626,'Dziedošais aktieris  Harijs Spanovskis. #tag',NEU
627,'@user jā bet tomēr vislabākās emocijas ir uz skatuves. :)',POZ
628,'Es gribu ēst',NEU
629,'tikko izlīdu no gultas #tag',NEU
