@relation Twitter
@attribute Twitter numeric
@attribute body string
@attribute class {NEU,POZ,NEG}
@data
71,'Spange Bob mūltene ir īpaša - tikai tur var zem ūdens izvirst vulkāns. :D',POZ
73,'@puciss arī es beidzot esmu mājās! Balle galīgi izdevusies visi sajūsmā. Man nenormāls prieks. :)',POZ
74,'Traucē man te visādas pāļvecenes un pāļveči gulēt :D #IenistuZvanusNoRitiem',NEG
75,'Jo celties 6dienā pulkstens 7:30 ir normāli jāaaaa!!! #labrīt :DD',POZ
76,'Labrīt ;)',POZ
77,'@saulesdels @Girts_Kasparans nenāk pagaidām šogad uz basketbolu. Pagājušajā sezonā nāca max 7tk uz vienu spēli 5-6 uz daudzām',NEU
78,'@PatsTaads :D ko Tu tik agri augšā? :D',NEU
79,'@EliniteS daudz laimes! : )',POZ
83,'Nenodzerties http://t.co/6ReYm5Pek2',NEU
84,'@Rexis_ Tu jau vispār kkāds dīvainis visu laiku agri celies :D un apsveicu ar vakardienas spēli ;))',POZ
85,'Milzum lielas bučas mazajam mīļajam zaķītim @NellyWendy dzimšanasdienā!!! :*****',POZ
86,'@PatsTaads ajjj . . . :((( veiksmi!!',NEU
89,'Labriit!! Jau pavadiita mammiite lidojumam uz Izraeelu tagad veel dazhi miega mirklji un jasak taisities uz Lapmezciema pusi! ;)))',POZ
91,'Maddara tu labak majas neradiessaprati?',NEG
92,'Uz medibamun tad vakara aši majas uz savu balliti ;D',POZ
93,'7:58 un gatava jau doties ceļā;DD  Šo dienu gaidīju ilgi ^^',POZ
98,'Labrīt.:)',POZ
99,'Lēnām jau taisos drīz jābrauc uz Bulduriem.',NEU
100,'@PatsTaads :D Tu tak zini ka man tādas nav :D vne?! :D',NEU
101,'@PatsTaads :D vaiiii. . . Tagad zināšu.',NEU
102,'Nedaudz nokavēju bet nu neko darīt. (@ HAVI Logistics Latvia) http://t.co/pKC4TG6sox',NEU
103,'Dh jau pirms 2 h piecelos un tgd Rīgā-_- #gm',NEU
105,'Sāp visas maliņas un es nevaru aizmigtt',NEG
106,'Noteikti nav nekādas saistības ar TOTO: http://t.co/D6hN56lRFN',NEU
109,'Labīt esmu priecīgs par sevi jo esmu pamodies.',POZ
112,'Patiesiibaa Dianas un Murenes maajas. :p (@ Valda un Diānas mājas) http://t.co/JjGyeluvni',NEU
114,'Dienas domugrauds: krūtij galā krūšugals',NEU
115,'@PTimrots piektdienas vakara izvēle #Liepājā Sasodītais sarkanais mēness" (Bungas naktī) @Liepajasteatris . #paTimrotapēdām"',NEU
117,'Tele2 ĻOTI mīl mani un atkal atslēdza man ienākošos un izejošos zvanus līdz ar to mani nevar sasniegt vienīgi whatsappā bet es to labošu',NEG
119,'Tikko piecēlosgaidu plkst 12:00 kad ar @gorskis_intars dosimies uz Jelgavu ciemoties pie @gunitamurr .',NEU
120,'Ceram uz drīzu jaukās atpūtas vietas sakārtošanu un cilvēku godaprātu ::izdemolēta jaunizbūvētā ezera laipa http://t.co/vDFrpVJpz9 #Liepaja',NEU
121,'@gunitamurr Sveiciens dzimšanas dienā ;**',POZ
122,'Braucu jaunsargu ekskursijaa.',NEU
123,'Labs rīts visiem. #GM',POZ
125,'LATVIJAS TAUTAS DZIESMAS (@ Jelgavas Kultūras nams) [pic]: http://t.co/Q8Fhsm3QEV',NEU
126,'Šodien jāpapilda kaut neliela daļa no tā KALNA kas ir uzdots un tad jau varēs štukot ko šovakar darīt.',NEU
127,'Nu ko laiks iet paēst un dušā',NEU
128,'Labrīt. Šodien braucu uz bāzi paņemt visas savas mantas.',NEU
130,'@PVilciens Beidzot vilcienā uztveru wifi! Ilgi nebija sanācis.Paldies!',POZ
131,'Inta Šoriņa: Bilde" gar acīm ir jāmaina http://t.co/ihFx9vSIaG via @liepajniekiemlv #Liepaja #darbnīca @DarbnicaCafe"',NEU
132,'Miegs. (@ Harmsonu rezidence w/ @edgarsirte) http://t.co/hKB7GJRwXG',NEU
134,'@MartaLpanda piedod saulstariņ es pirmdien uz Rīgu tikai.',NEU
137,'Forshi visu nedēļu gulēt līdz 9 un sestdienā celties 6!!! Hokeja diena!',POZ
138,'pamodos brīnišķīgā noskaņojumā jo 3 brīvdienu baudīšana var sākties. jau tagad gribu pirmdienu ar mīļajiem. &lt;33',POZ
139,'Ar labunakti..',NEU
140,'Nākamās 24h būs ma?iskas.',POZ
141,'Piecas neparastas lietas ko par cilvēku pasaka viņa smaids  http://t.co/EFB76Tkogk',NEU
142,'Atlikušas 22 vietas. http://t.co/064afqYDmT',NEU
143,'Esmu pabeidzis savu jauno treku un pagaidām izklausās labi vēl tikai kaut kad jābrauc uz studiju maukt iekšā.',POZ
144,'Jau atkal rīts sestdienas spīts mosties labrīt :) http://t.co/zBsEuqlPTG',POZ
147,'Garajās brīvdienās ieplāno aktivitātes visai turpmākajai  nedēļai. #Liepaja plaša izvēle :: http://t.co/6irpE4J9nx',NEU
151,'Pēdējā diena... (@ Ādažu poligons) http://t.co/qzjHTSdvNr',NEU
153,'@Dainis_DDG Dukurs? :D',NEU
154,'Mmmnn dzeru karsto šokolādi un skatos youtubi. Perfekts sesdienas rīts.',POZ
155,'Labrīt tūlīt jau izbraucam uz natalie.',NEU
158,'esmu gatava braucam uz Akvaparku ^^',POZ
159,'Man ir kauns ja latviešu politiķi iztapīgi lien ar savu slikto krievu valodu Latvijas krievu televīzijā. http://t.co/EoWzsUPlhK',NEG
161,'LAbrīt.',NEU
163,'@JoannaDarta @vbd_lv izdosies! Mārtiņš vakar visiem mānījās ka sniegs sniegot un mums visapkārt bija Ziemassvētku mūzika! :)',POZ
165,'Labrīt',NEU
168,'Labrīt.',NEU
169,'@JoannaDarta kā es gribētu būt Gungās!! :) Lai jums labs vērtīgs smieklīgs un svētīgs laiks tur! Un izbaudiet Gungu skaistumu! Un nofočē:D',POZ
174,'Šodien treniņštikai nezin cikos un kur... ;D',POZ
178,'Labrīt. tagad laukā ar pecēm. :))',POZ
179,'Braucam uz lido paest ar @ThePilins',NEU
184,'Šodien Latvijā Mazā biznesa diena :) arī mēs @ITTehnika aicinam Jūs ciemos :) Atbalsti mazos uzņēmējus @AtbalstiMazo http://t.co/r8pobsNIkZ',POZ
186,'Mana mana māsa Anna! ',NEU
187,'Labrit;) Vēl bišķiņ un tad jau dodos prom:))',POZ
188,'Labrītinj visiem :) And buchas runchukam ;****',POZ
189,'- labrīt . ´',NEU
190,'Labrītiņ saulstariņi :) dodamies ielās un tad jau work work :) Vakarā kkas jāsadomā :))',POZ
191,'Labrīt vējainajā rītā :)',POZ
192,'Izskatas ka sobrid man neviens nevar atbildeet',NEG
194,'Šorīt jūtos kā zombijs ',NEG
199,'Labrīt.',NEU
200,'Esam Rīgā.',NEU
201,'@powwariana ieej whatsapp lūdzu .´',NEU
202,'Kopumā par vakardienu: uz Zasu braucu caur Aknīsti :D',NEU
203,'Riebjas cilvēki kuri cenšas pierādīt pretējo lai gan nemaz nezin situāciju.',NEG
207,'Kāds shodien nevēlas uz kinīti? #centrs',NEU
208,'Ar auto uz darbu 6dienā ir patīkami braukt (at @DominaShopping) http://t.co/hrKQbYPX7V',POZ
210,'Labriit',NEU
211,'Stundukā pamodusies@annele4222 aizvraukusitagad TVgulta un kaķītis #arlabunakti',NEU
214,'Esmu gatava un dodos uz Gulbeni!',NEU
215,'Labs rītiņš! Ehh būtu labāk gulējusi brr cik auksts un neskaists laiks aiz logo! :D',NEU
216,'Viss ir galvā.',NEU
218,'LABRĪT-Ir tik labi pamosties SAVĀS MĀJĀS',POZ
222,'Esmu ieradies savā mājā.',NEU
223,'Labrīt šdn uz teātri un tad uz onkoļa dzimšanas dienu! ;)) ;)) ;))',POZ
224,'sākas stresiņš pirms vakara jo es joprojām īsti nesaprotu kad un kas man īsti ir jādara :D',NEU
225,'Labi jādodas garajā braucienā uz #Paris (Francija). Kādas 24H būs līdz gala punktam.',NEU
227,'labritin! Tagad uz pilsetu sapirkties :))',POZ
229,'@ASincha jā :D to es arī redzēju ;D',POZ
234,'@JanisGitendorfs ko šovakar?',NEU
235,'Jādadzer jogurts un jādodas uz krievu skolas sporta zāli.',NEU
236,'Laikam jāceļas. *',NEU
238,'@DubultaisT ko šovakar?',NEU
239,'Viss izlemts. Mēs ar Emīliju braucam sakatīties to @staroriga Esmu atvērta piedāvājumiem un vakara plāniem!',NEU
241,'@kokzkokz ko šovakar?-',NEU
242,'Liela daļa no mīklas parasti nemaz nepārvēršas pankūkās jo ir garda tāpat.  Pa taisno no bļodas :)',POZ
243,'nu lab jau kādas 30 min esmu augšā.',NEU
247,'Sestdiena rīts miegainas acis žāvas un Tu saproti: cik forši ir gulēts! No darāmā ne miņas - dievinu brīvdienas! http://t.co/dW7GjFIQIY',POZ
249,'Kādam šodien ir plānā  doties uz Rīgu? Būtu forši ja varētu paķert līdzi.',NEU
250,'Labrīt.',NEU
251,'labrīt.',NEU
255,'Jau no agra rīta brauc viņš augumā. Vnk lieliski. #sūds.',NEG
257,'Apsveicu @DZHIIBMX :)',POZ
261,'Te ir superneērti krēsli un ļoti runātīgas fellow studentes. Būs ilga diena. [pic]: http://t.co/7RrR58x0vA',NEG
262,'- Nu jā vakardiena vienkārši ideāla .  ; 33 Vienīgais man tagad nereāls kauns . : DD Bet nu cerams  visi piedos : DDD',POZ
266,'Labrīt! Šodien jūtos smagi! :d',NEG
268,'Viņa intelekts kurš ir zemāks par jūras līmeni mani vienkārši uzvilka". Jo īpaši šajā  valsts svētku  laikā.."',NEG
269,'Labrīt. Godīgi sakot melna bilde no Vakardienas.',NEG
270,'Labrīt esam pamodušies ar @madara_rone :) Šodien vēl Dosimies uz Dominu nopirkt man kreklu priekš viņas kolektīva apbalvošanas pasākuma',POZ
276,'Labrīt. :-) Šodien jau jūtos daudz labāk vismaz kāds prieks.',POZ
277,'dodos pakaļ nuttelas maizītēm;D',POZ
278,'@jabiinsh12 @NMedins jums svētdienās treniņi? gg',NEU
281,'Tūlīt jābrauc uz darbu. Garastāvoklis protams briesmīgs. Vakarā ar mammu uz teātri.',NEG
282,'Gandrīz neiespējami rimčikā savienoties ar internetu. Ah zb. Vēl tikai nieka 40 min. ;(( :D',NEG
283,'Lekcijas šodien nav baigi interesantās. #school #boring #sleepy (@ Ekonomikas un Kultūras augstskola w/ 4 others) http://t.co/NfwGI0IzKc',NEG
284,'b*** atkal neviena izsina nepienak . ja kas man zvaniet vai rakstiet pa viber un whatsaapppuu .',NEG
289,'labrīt.',NEU
294,'Varbūt kāds no suntažniekiem var man aizdot hanteles un kādu stieni 5kg līdz pirmdienai? :d',POZ
296,'- eju meklēt kaut ko ēdamu . ´',NEU
298,'Ceļā uz Ventspili. http://t.co/1h3nmlJeKo',NEU
299,'Riktīgi kaifīgi dzirdēt stāstu par to kā lietuviešu kompānija atrada kopīgu valodu ar igauņiem caur manu dziesmu :) #MusicConnects',POZ
301,'@elvitots tas jau lkm no manām mājām.:D',NEU
302,'Labrīt :)) jūtu ka šī diena būs ideāla :)))',POZ
303,'Sanāca laaaabs joks.  Shodien gribējām nospēlēt pirmdienas koncertu.#akmees. Esmu pārsalusi bēt ljoti laimīga labs plancjiks 16.00:)))',POZ
304,'Lūdzu nošaujiet mani',NEG
306,'@Raini_Rodriguez   Labdien PRINCESĪTE !!!',POZ
308,'@mjauu13 Pajautāji par 1dienu ??',NEU
309,'Driz oma bus klat jasagaid un tad uz loc',NEU
310,'Braucam atpakl uz rajonu ! Galvā karuselis ! Un ar @ThePilins recam par nakti ! :D',POZ
311,'@2inchesOfDoom   Labdien !',NEU
312,'plkst. 8 no rīta. sencis- Sarmīt celies un taisi man ēst!  tā nu es esmu nomodā jau no 8 un šefoju pa virtuvi.  labrīt. ))',POZ
314,'- un atkal jau ar viņu sastrīdējos .... Nu zajebal  es vairs pakaļ viņam neskriešu  viss man pietiek  ka tic meliem nevis man  -.-',NEG
315,'@smaidinji Ehjūs tak esat labākās. Vismilzīgākais Paldies Jums ! Pārsteigums bija super. :))',POZ
316,'@RifleAkaFurious   Labdien !',NEU
317,'Tikko mājās no Robīša balles 12os jābrauc uz Rīgu. Woohoo! #OldTimesGoodTimes',POZ
318,'@alrightjam   Labdien PRINCESĪTE !!!',POZ
320,'@KingstonHQ   Labdien !',NEU
321,'Labrīitiņ. ;) Šodien mūsu stāvoklis ir TIKAI horizontāls bet vakaraa jau atkal būs vertikāls... ;DD',POZ
328,'Šī dienas sākums ir izdevies jo satiku mīļo Jūliju stacijā!',POZ
330,'Nesen piecēlos laikam jāaizripo uz halli.',NEU
331,'Tikko sajutos kā Kevins. Pamostosun māja esmu viens pats.',NEU
332,'@freeeelikeabird Apsveicuu :***',POZ
336,'Labrīt! =)',POZ
337,'Sodien TV diena atkal vakaraa uz milžu cīńām .',NEU
342,'ar Karchu interesantas dzīves sarunas. viens no cilvēkiem ar kuriem var runāt par jebko. #thanksman #bet #vetsiit',POZ
343,'Rīga-Valmiera sodien kāds nebrauc ??',NEU
344,'Enerģijas pilnu un pozitīvām domām bagātu šo sestdienas rītu!Ir taču brīvdiena!:)',POZ
345,'@Olafs_Pulks Cik ir shogad?',NEU
346,'Skaisti! :) http://t.co/2NBlwAzfJ9',POZ
347,'- būs jāsāk ģērbties .´ pietiek pa gultu vārtīties . ´',NEU
348,'Rīt uz Rīgu! :3 Yeyaaaa.. xD',POZ
349,'Stulbais  internets :@@@',NEG
351,'@jabiinsh12 @KristssV @NMedins Cikos jūs brauksiet? Un ar kādu transportunegribat 11 30 pie PRIZMASjo nezinu kā aizbraukt!',NEU
353,'Labrīt;)',POZ
354,'Šodien labs garīgais',POZ
357,'Lapriit ;) Šodien ar vilcienu uz Rīgu ar drušku pa veikaliem pastaigāšu ; )',POZ
358,'Varbūt pie manīm b?s beāte',NEU
359,'#Brokastis',NEU
364,'Kamēr citi vēl tikai pārrodas mājās no ballītēm... Es jau sen pamodusies svaiga kā gurķītis dodos uz jogu. #sestdiena',POZ
366,'Ātrak ārā no maajaas. Uhh',NEG
370,'nu jā.',NEU
371,'labrīt un atā  eju spēlēt nfsw .',NEU
372,'@Oskars553 sviestu ēdat..?',NEU
373,'izlasiet... http://t.co/vCPrP8b3Oe',NEU
374,'@Kikels123 cikos ir? :)',NEU
376,'Labrīt esmu augsa suns nelauj gulet tulit jabrauc ari UZ pilsetu ar ommi.',NEU
378,'Labrīt pamostos paskatos telefonā cik pulkstens bet pulksteņa vietā redzu 6 neatbildēti zvani (O_o) :D',NEU
379,'Dzīve - nav zebra no baltām un melnām strīpām bet gan kā šaha galds. Viss ir atkarīgs no veiktā gājiena..',NEU
382,'Drīz jāpārkārto istabasagribējās kaut ko savādāku.:)',POZ
383,'@enducis Nu tu skaties :D Labi labi. :D Labāk iedomājies kautko smieklīgu :)',POZ
385,'Esmu gultā un miers !',NEU
389,'labrīt! Tā dien beidoot ir klāt un man ir lielisks garatāvoklis! LAI IZDODAS!!',POZ
393,'@for_zuzux6 Braucu uz staro rīga :DD',POZ
394,'labrīt! Tā dien beidzoot ir klāt un man ir lielisks garatāvoklis! LAI IZDODAS!!  @nozobena',POZ
395,'Labrīt pamodos no tā ka nenormālīgi gribas klepot nu jau vairs neaizmigšu.  Tagad brokastis pie pc njā.. interesanti.',NEG
398,'@ElenaAkmane Kad beidzas uzzvani. ; ))',NEU
399,'Beidzot pie rullja atkal :-D ne pie sava bet nu vsmz',POZ
400,'Kādam ejošu biznesa ideju?http://t.co/ArO9VuhI1U . http://t.co/KvqtsvDrqU :D :D',NEU
401,'šodien ārā ar @Annijajajaja',NEU
404,'Traki pelēka dieniņabet nekas! :))',POZ
406,'Liela Ziemassvētku atklātnīšu izvēle @TiimariLatvia veikalos. Arī dāvanu saiņojamie materiāli-papīrilentaspušķi- piedāvājumā.',NEU
407,'Taisam pankuukas #labriit :))',POZ
409,'-5% atlaideuzrādot ISIC studenta karti @TiimariLatvia veikalos.',NEU
410,'@Madzinatorss kaitinošākais kas var būt ;@ ;/',NEG
415,'Vienmēr brīva vieta šajā bezmaksas stāvvietā uz skolu tālāk ar tramvaju! :) (@ Rīgas Dzemdību nams - @dzedibunams) http://t.co/1fi3q37NtN',POZ
417,'Šorīt viss steigā. Bet pēc tam SPA.',NEU
419,'gm ne pārāk labs rīts šodien tomēr pa mājām negribu nekur braukt . Paskatīšos filmiņas n shit . #saturday',NEG
425,'Eju uz veikalubye #AdiosMeseritos',NEU
429,'Brokastis. http://t.co/irFCzYuS9W',NEU
430,'Jaukākais ir tas  ka esmu saslimusi .  ; //',NEG
431,'@janiszilvers nu gan smalki.',NEU
432,'iHoroskops ļoti iepriecināja. Labrīt.',POZ
434,'Vakar patripojām apkārt  ar bračku',NEU
435,'šodien plkst. 14.00 visi esat gaidīti Mārupes sporta kompleksā vērot spēli &amp; vērot mūs! ;)',POZ
436,'Maziņš šopings bet tik patīkami :D (at @TC_Origo w/ 4 others) http://t.co/h6zawFU2oA',POZ
437,'Forši duša saplīsa;D',NEG
438,'Labrīt;)))))',POZ
440,'Labriit.:*',POZ
441,'Ja izdarīji bernu tad tev jaaprecas. - Runāsim atklāti. GUSH :D',NEU
442,'tomēr ir cilvēki kas spēj ar viena zvana palīdzību likt smaidīt un aizmirst par visu slikto. :)',POZ
443,'@erbe_kurpe ko nebiji vakar uz tēva dzimeni?',NEG
444,'Lamar Odom ir ticies ar #Clippers vadību par iespējamo atgriešanos NBA. Varētu būt noderīgs. http://t.co/RRz0u8NMIK',NEU
445,'Esmu orķestrī. Negribu. Te. Būt.',NEG
446,'Labis rītis! :) Okeāniņš farmiņa un tad jāpakojas uz Valmieriņu! :)',POZ
447,'@MariaIliuca kas tev zvaniija ? :D',NEU
449,'Izdevies rīts ir izdevies rīts! #Mājās http://t.co/gqRULxTHmt',POZ
450,'Varētu šodien sapucēt sevi. :)',POZ
451,'Labrīt!',NEU
452,'Kaut varētu tagad pazust.',NEG
454,'Šodien esmu šeit! @ Rīgas Latviešu biedrības nams http://t.co/K7NCTIhLNk',NEU
455,'Es gribu ziemu.',NEU
456,'To viņš pieprot! http://t.co/HYoCrf9iP1',NEU
460,'Labrīt :)',POZ
461,'Skatos lnt un smejos par meiteni. Lool. :D stasta un smaida. :DDD',POZ
462,'Kica jau majas aizgaja:)',NEU
464,'Pēc kādas pus stundas došos uz OZO.',NEU
466,'Ja gribi raudāt izmanto kabatas lakatiņu nevis twitteri.',NEG
469,'Čukš čuks... Klausos veļasmašīnā! Man patīk viņas akcents. ;D',POZ
470,#NAME?,NEU
471,'Labr?t. Nu vairs nav labi aizg?ju gul?t pirms 6:30 un esmu jau augś?.',NEG
472,'Mm nu jāa. Autobusu nokavēju. :D',NEU
473,'Labr?t. Nu vairs nav labi aizg?ju gul?t pirms 5:30 un esmu jau augś?.',NEG
476,'@RitvarsTjarve @Wiiikinja man nekas nav teikts es pat nezinu cikos viss sākas :D',NEU
477,'mīl ne jau par to kā cilvēks izskatās vai kāds raksturs tam ir bet gan par tām sajūtām ko šis cilvēks māk radīt..',POZ
480,'sveicu @freeeelikeabird :)',POZ
482,'...un es domāju ja trenerim ir salauzta kāja tad treniņi būs vieglāki. Kā tad! Šodien ne saliekties varu ne apsēsties :D',NEU
484,'Labi  man apnika  Diān ja Tev kko no manis vajag  tad whatsapp. ; dd @chukstinji',NEU
485,'@tt0ms ko tu spēlē darīsi ar savām porcelāna potītēm?',NEU
487,'- mainu paroli datoram . ´ mamma visu lasa . ´ man jau apnicis šitas ir. un vainu vēl noveļ uz tēti : ka viņš ir lasījis .',NEG
489,'Šis rīts iesācies ar jaukām pozitīvām emocijām. Prieks un arī svētku sajūta. ',POZ
490,'Saldus sap?us! :) http://t.co/H2xnay3p8J',POZ
491,'Pec fantastiska vakara/nakts. )) Pie saviem milajiem. )) (@ Lienītes house) http://t.co/pUYctXexRX"',POZ
492,'@LiivaRutaa ai tētim viņa bij klases audzinātāja un viņiem visien bija pasākums te :D',NEU
493,'@meksikaaniete labāk pasmejies par šo bildīti! http://t.co/NZcDuwrQ59',NEU
494,'Labrīt vakar tikai 2:30 beidzu  ballīties! Šodien 15:00 draugi nāk! :))',POZ
497,'Sīkais grib lai braucu uz akvaparku. #NezinuGan',NEU
499,'@Spicaisss  Vakar:  es jau neko pa maaju',NEU
500,'Nav jau tāka pus nakti neesmu gulējusitikkai dēl tā ka dzērājiem gribas parunāties un uzdot debīlus jautājumus. #labriiiit',NEG
501,'Labrīt :)',POZ
504,'@SStepa ko tu rēc ?',NEU
505,'Labrīt.',NEU
506,'@hatbass PAALDIES! :)',POZ
507,'Es kā parasti čamajos',NEU
509,'Šonakt nosapņojuka tieku sadurta un pašlaik esmu ceļā uz kapiem. Ironija vai sakritība?',NEG
510,'Labs ies ģērbties un brauks :)',POZ
511,'Krasi jāmaina dzīve tur nav divu domu! :)',POZ
512,'Jau drīzumā foto kursi :-) Bet tagad viens ģimenes foto :-) (@ GA - Studio | Stila Foto studija) [pic]: http://t.co/F55yfVSY0Z',POZ
513,'Labrittikko pamaniiju ka gacho mwn twitteri atbildeejis. ;D',POZ
514,'Vakardienas ballīte bija tik super ka pat šodien kautkā nogurums liels :D',POZ
515,'Eju parunāt ar Martu.',NEU
516,'Piektdienas vakarā pie Smiltenes  jaunajiem riteņbraucējiem viesojāsprofesionālais riteņbraucējs @GSmukulis http://t.co/JwakkOc5Tg',NEU
517,'Drīz jāceļās augšā jāsataisās jāsatiek @Aigars118  un tad uz laukiem prom no visa un visiem uz dažām dienām. :)',POZ
518,'Tas moments kad skype parāda ka tavai labākajai drauzenei ir dzimšanas diena:D http://t.co/05pFFMtRO9',POZ
520,'kafijanomazgāšu traukus untad ciemos pie mīļajiem.',NEU
521,'Labrīt. :)',POZ
522,'Braucu uz Liepāju!',NEU
523,'Esmu lieliski izgulējusiesceļos un sāku kārtot māju ',POZ
524,'@ABunclere  pāāldies! :-D :-):-)',POZ
525,'labrītizgulējusies beidzotjess',POZ
526,'Tas moments kad skype parāda ka tavai labākajai draudzenei ir dzimšanas diena:D http://t.co/LuG6AuA21I',POZ
527,'Jo tas vienkārši ir Ņiksis . @NickGAAA #zmejs http://t.co/qRGK6FfuNA',NEU
528,'kunģīts pielikts. tagad varētu pagulēt.',NEU
532,'@CSDD_LV Lieliski. Jums kā izpildošajai organizācijai vajadzētu ziņot Saeimai par viņu darbā pieļauto brāķī - loģisko ačgārnību. Lai labo.',NEU
534,'Labrīt. (:',POZ
535,'Man nav ne mazakas nojautas kur esmu :D',NEU
536,'Kā garākas brīvdienastā esmu darbā (at @DominaShopping w/ 6 others) http://t.co/6371bsOfYz',NEG
538,'@SStepa a kā tad viņu sauc ? :D',NEU
539,'labrit. http://t.co/rinvBItJuX',NEU
540,'Aizbrauks lidz frizieram...',NEU
541,'@44igijs cikos pūsli dzenāsim?',NEU
543,'Ak dievs cik sen šeit nesmu bijusi :O',NEU
544,'IespejamsRihards sl  iktakais pasakumu vaditajs',NEG
546,'@Auzinaaa Paaldies! ;)',POZ
548,'Ballē ķipa katrs kolektīvs pie sava galdiņa? #balle',NEU
551,'Ak tāds nogurums...',NEG
552,'@kintiyaaaa_r atbildi uz sms',NEU
554,'@SStepa sekošu viņai twitterī :D',NEU
555,'Rihardsiespejamssliktakais pasakumu organizators. #ballitebus',NEG
556,'Skan Imagine Dragonstāda sajūtaka esmu Positivusāhaha',POZ
557,'Atnacu pie Lauras paest http://t.co/YfIVZDEQHk',NEU
558,'skatos bērnības fotogrāfjas par dažām var tā pasmietes ;dd',POZ
559,'Labs rīts  nežēlīgas vēdera sāpes līdz pat asarām .',NEG
560,'Hey. Kādam nevajag lakatus/šalles priekš sevis vai dāvanai- tad Dominas Glam Deco veikalā lielais… http://t.co/1JnGiYpNsJ',NEU
561,'šorīt baigi ilgi nogulēju . : DD',NEU
